YEAR,MONTH,ALLSKY_SFC_SW_DWN,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,QV2M,WS2M,GWETTOP
1995,5,23.56,31.88,20.93,26.4,38.46,27.44,8.18,54.85,15.94,1.86,0.43
1995,5,24.99,31.69,21.04,26.36,38.42,25.16,0.26,56.88,16,0.96,0.45
1995,5,23.1,32.26,20.77,26.52,38.39,26.7,2.61,53.49,15.77,0.73,0.44
1995,5,24.58,32.06,21.83,26.94,38.05,26.6,11.85,57.54,16.87,1.05,0.51
1995,5,17.73,26.82,18.56,22.69,33.73,21.44,2.51,62.74,13.66,2.62,0.49
1995,5,22.49,29.18,18.92,24.05,36.64,22.12,0.14,57.26,13.99,1.74,0.45
1995,5,23.54,29.76,21.54,25.65,35.93,23.85,9.53,64.03,16.51,1.59,0.51
1995,5,18.16,28.81,21.46,25.14,33.94,24.27,2.34,66.64,16.4,1.39,0.49
1995,5,21.59,29.54,21.92,25.73,34.19,24.73,5.8,65.81,16.91,0.95,0.48
1995,5,9.53,27.82,22.95,25.38,32.5,24.3,33.14,76.34,17.95,1.66,0.66
1995,5,17.61,26.23,22.14,24.19,29.19,23.24,5.46,79.23,17.05,1.2,0.58
1995,5,17.68,27.13,22.57,24.85,31.78,23.23,3.85,77.61,17.53,1.11,0.56
1995,5,17.03,26.37,23.48,24.93,29.68,24.08,36.61,84.78,18.53,0.97,0.67
1995,5,15.68,26.19,23.24,24.71,29.27,23.34,16.3,84.45,18.27,1.39,0.68
1995,5,22.29,26.71,22.84,24.77,31.45,22.76,7.46,80.84,17.82,1.85,0.65
1995,5,22.4,27.47,22.74,25.11,32.65,22.47,3.51,77.39,17.7,1.75,0.62
1995,5,24.12,28.06,23.03,25.55,33.24,23.14,9.96,76.09,18.03,1.65,0.63
1995,5,21.39,28.19,22.92,25.55,33.54,23.32,2.06,75.01,17.9,2.19,0.6
